"","C03-C","C03-R","C03-S","A33-C","A33-R","A33-S"
"CSMD1",1893.91842110025,3889.92865982199,3247.86843891338,328.9264671238,481.193195453858,635.731197870844
"MYC",531.973397936579,711.634084251289,688.370751046145,114.409205956104,171.540535856494,178.378084883826
"DLGAP2",639.066510869107,984.300524599055,1002.07271971935,124.896716502081,208.487728194816,193.934313216718
"TRAF5",249.107893125663,245.653046876779,232.782379580822,839.954253727733,636.01952525254,682.39988286952
"GPR88",274.717115783441,492.150262299527,407.923408027345,57.2046029780522,58.9395687301801,80.8923873310373
"FTO",4203.40468260172,4264.73949423192,4430.62462468831,2170.91468301708,2225.62849085605,2390.47375382104
"RPS26",6040.28438050964,4350.84468592069,4533.71396421696,1852.47572643926,1706.6084080082,1942.45437783375
"TRPM3",122.225835412124,211.886305038047,210.612629144553,732.218918119068,1308.9862428434,1565.99365217777
"RPS2P55",143.178835768488,152.794506820265,188.442878708285,19.0682009926841,25.5111566145556,23.8528834437674
"CCND1",263.076560029905,232.990518687255,219.480529319061,1003.94078226482,669.447937368165,1095.15847463558
"TFAP2C",513.348508730922,365.52498040428,397.947020331024,1657.98007631388,1235.97155322243,1287.01862407458
"GRM6",89.6322793022244,154.482843912202,147.428840401187,3.81364019853681,4.39847527837165,0
"LMO3",27149.2681839712,31525.4743491867,33807.7609277881,11288.374987669,14242.2629513674,11052.1816895752
"IGFBP3",402.763229072333,830.661849232821,893.440942581631,91.5273647648835,58.9395687301801,116.153171552259
"GABRA4",429.536507305465,996.963052788579,851.318416752721,38.1364019853681,35.1878022269732,103.708188885945
"ZNF385D",1495.81141432933,2085.9404770877,2182.61193045066,255.513893301966,358.915582715126,533.060090873758
"NAV3",5065.96986393871,5571.51240339088,5897.15361604749,2259.58181763306,2737.61101325851,2554.33269226083
"NFATC4",918.439848953962,620.463881286711,676.177388306197,2694.33680026626,2005.70472693747,2477.58863248523
"NPR3",3421.15933596413,5566.44739211506,5943.71009196366,1397.69913276374,1462.05318253074,1161.53171552259
"ZIC3",96.6166127543458,55.7151240339088,69.8347138742466,454.776593675515,533.974898794318,1241.38702096476
"SPON2",50.0543897402033,48.1176071201939,46.5564759161644,219.284311415867,210.247118306165,299.716665880382
"PKD1P2",355.036950482837,664.360645677063,670.63495069713,120.12966625391,93.2476759014789,93.3373699973507
"HTR2C",95.4525571789923,187.405417204966,211.721116666367,754.147349260654,963.266085963391,1234.12744774275
"DCX",60753.2245332779,56529.7466807682,58551.4193897076,20034.0053729635,28308.5868915999,22771.207033687
"ZNF280D",1276.96896616286,1245.14860530326,1200.49198612395,336.553747520874,513.741912513808,402.387772877467
"PEX5L",762.456401856585,989.365535874864,1153.93551020779,102.01487531086,111.72127207064,233.343424993377
"PLPPR5",2382.82176274875,3374.14167823535,3609.23537102456,913.366827549566,1133.92692676421,1022.56274241542
"CCDC144A",80.3198346993959,261.692249250177,213.938091709994,0,5.27817033404598,2.0741637777189
"CFAP70",34.9216672606069,78.5076747750532,66.5092513088063,304.137805833311,383.547044274008,425.203574432375
"EPCAM",246.779781974956,309.809856370371,309.268018585949,63.8784733254916,81.8116401777126,73.6328141090211
"FANK1",9.31244460282851,5.06501127580989,6.65092513088063,91.5273647648835,118.758832516034,115.116089663399
"SPAG8",39.5778895620212,40.5200902064791,34.3631131762166,166.846758685985,232.239494698023,209.490541549609
"TYW1B",87.3041681515173,64.1568094935919,75.3771514833138,296.510525436237,299.976013984946,262.381717881441
"COBLL1",139.686669042428,88.637697326673,76.4856390051273,456.683413774783,435.449052558793,429.351901987813
"ANKS1B",2593.51582188774,3111.60526043921,3028.38790959431,930.528208442982,1158.55838832309,1275.61072329713
"ACTN2",1094.21224083235,1315.21459461863,1278.08611265089,342.274207818679,354.517107436755,498.836388541397
"PLCH1",1047.65001781821,958.975468220005,810.304378445624,2244.32725683891,2263.45537825005,2042.01423916426
"NDNF",47.7262785894961,38.8317531145425,24.3867254798956,201.169520472817,205.848643027793,235.417588771096
"DAB2",8.14838902747495,16.8833709193663,17.735800349015,157.312658189643,131.954258351149,123.412744774275
"TPD52L1",39.5778895620212,18.5717080113029,38.7970632634703,251.70025310343,221.683154029931,196.008476994436
"LRRC74B",2.32811115070713,2.53250563790494,0,120.12966625391,137.232428685195,119.264417218837
"ETV1",3550.36950482837,4577.92602478617,4180.10644475848,1819.10637470206,1916.85552631436,1717.40760795125
"PKD1P5",953.361516214569,1758.403081252,1579.59471858415,316.532136478555,382.667349218333,369.201152433965
"RBMS1",53.546556466264,51.4942813040672,49.8819384816047,197.35588027428,241.036445254766,211.564705327328
"SMARCA2",8419.61397653233,10252.4269907852,10537.2823823585,3942.35055523743,4723.96244897115,4125.5117538829
"NGEF",2158.15903670551,3862.91526635101,4067.04071753351,380.410609804047,556.846970241851,816.183446532389
"SLC26A4-AS1",1476.02246954832,2554.45402010012,2642.63425200324,445.242493179173,639.538305475238,413.795673654921
"CFAP46",33.7576116852534,35.4550789306692,37.6885757416569,197.35588027428,170.66084080082,284.16043754749
"ZMAT1",1114.00118561336,1252.74612221698,1140.63365994603,2207.14426490318,2530.88267517505,2458.92115848576
"L3MBTL4",135.030446741013,115.651090797659,92.0044643105154,10.4875105459762,12.3157307794406,8.29665511087562
"STXBP6",213.022170289702,171.366214831568,217.263554275434,839.000843678098,575.320566411012,1021.52566052656
"ZDBF2",3853.0239544203,4877.60585860492,5039.18427416389,1954.49060175012,2059.36612533361,2074.1637777189
"GPR22",3180.19983186594,5305.59931141086,5178.85370191239,1136.46477916397,1499.00037486906,1033.97064319287
"ATP6V1G2",3239.56666620897,3572.52128653791,3820.95648769092,1694.20965819998,1871.1113834193,1731.92675439529
"MEGF10",1503.9598033568,1172.55011034999,1190.51559842763,3663.00141069461,3221.4432938794,2865.45725891867
"RPRM",3295.44133382594,5400.14618855931,5444.89070714761,128.710356700617,226.961324363977,399.276527210889
"VAMP2",17166.327569739,18019.6217822396,19317.6120426428,9316.72300502543,10169.2748435952,10161.3283470449
"GRIN2B",9201.85932316993,13624.8803319286,12984.8228305226,1757.13472147584,2814.14448310218,3632.89785667466
"PHACTR2",173.444280727681,184.028743021093,147.428840401187,467.170924320759,452.163258616605,454.24186732044
"LOXL1",136.194502316367,119.027764981532,108.631777137717,373.736739456607,369.471923383218,342.237023323619
