"","C03-R","C09-R","A33-R"
"MAGOH",389.605367996598,768.155312066614,609.436733172698
"MAGOH2P",57.4056218545712,12.5413112174141,71.3486907129013
"MAGOHB",631.461840400284,425.359472123962,755.106976711539
"MAGT1",666.281643820269,1660.67862703925,1179.23530483823
"MAILR",304.908548866903,279.044174587464,316.11433801966
"MAIP1",251.267230084763,349.066495551359,226.928474628533
"MAK",67.7574553037562,470.299170653029,165.489324292424
"MAK16",422.543019880369,430.585018464551,514.305145555497
"MAL",0,54.3456819421278,12.8824024898294
"MAL2",723.68726567484,878.936894487105,803.663724557819
"MALAT1",187670.270751811,372297.184363083,282244.519965823
"MALINC1",31.9965761156627,20.9021853623568,69.3667826375429
"MALSU1",587.23127929922,783.831951088382,600.518146833586
"MALT1",1244.10216543841,852.809162784159,1275.35784649311
"MAMDC2",57.4056218545712,19.857076094239,26.755759017338
"MAMDC2-AS1",46.1127126372785,59.571228282717,22.7919428666212
"MAMDC4",748.155235645641,701.268318907072,897.804358137341
"MAML1",2498.55616432601,1429.70947878521,2957.00684843469
"MAML2",103.51833449185,475.524716993618,173.416956593857
"MAML3",616.40462811056,546.592147225631,812.582310896931
"MAMLD1",2203.99944890829,948.959215451,1323.91459433939
"MAMSTR",142.102440984266,132.728877050966,210.082255987987
"MAN1A1",258.795836229624,406.54750529784,134.769749124369
"MAN1A2",5038.51966244876,4196.11371149314,4623.79153981107
"MAN1B1",4452.22945891765,4233.73764514538,3387.08090078745
"MAN1B1-DT",92.225425274557,114.962019492963,50.5386559216384
"MAN1C1",471.47895982197,1312.65724075601,860.148104705532
"MAN2A1",783.916114833735,1395.22087293732,951.315876172017
"MAN2A2",4595.27297567002,1793.40750409022,3772.56202144465
"MAN2B1",512.88629361871,645.877527696826,689.704010224712
"MAN2B2",1776.75105018738,1276.07841637189,1247.61113343809
"MAN2C1",3118.725095509,1790.27217628586,2610.17293524697
"MANBA",797.091175587243,1083.7783110382,829.428529537477
"MANBAL",1246.92539274274,1804.90370603951,1073.20322280656
"MANEA",330.317594605812,466.118733580558,744.206482297068
"MANEA-DT",115.75231947725,54.3456819421278,233.865152892288
"MANEAL",974.954495759603,715.899848660722,824.473759349081
"MANF",624.87431002353,1411.9426212272,864.111920856249
"MANSC1",715.217583761871,683.501461349069,763.034609012972
"MAOA",898.727358542877,1198.74033053116,1003.83644016901
"MAP10",127.045228694543,71.0674302320133,86.213001278089
"MAP1A",11055.7581237296,7665.87648164437,6757.31558293436
"MAP1B",125509.393040991,69388.984747416,94365.5801460757
"MAP1LC3B",5138.27369386818,5672.85310734365,4289.84002911319
"MAP1LC3B2",302.08532156258,205.886525819215,320.078154170377
"MAP1LC3C",1.88215153621545,64.7967746233062,23.7828969043004
"MAP1S",2784.64319783076,2029.60219868485,2247.48375745639
"MAP2",58716.5403995453,22593.1721581715,42641.743195373
"MAP2K1",1473.7246528567,1613.64870997395,1253.55685766417
"MAP2K2",3660.78473793905,5302.88442642993,3524.82351202486
"MAP2K3",383.958913387952,642.742199892473,415.209741787578
"MAP2K4",2128.71338745967,1939.72280162671,1750.02483054144
"MAP2K5",1210.22343778653,1662.76884557549,1053.38414205297
"MAP2K5-DT",17.8804395940468,39.714152188478,45.5838857332425
"MAP2K6",2282.10873766123,1437.02524366203,2486.30368053707
"MAP2K7",1330.68113610432,1433.88991585768,1344.72462913065
"MAP3K1",237.151093563147,612.434031117055,525.205639969968
"MAP3K10",2733.82510635294,1777.73086506845,1688.58568020533
"MAP3K11",766.035675239688,881.027113023341,854.202380479457
"MAP3K12",2137.18306937264,1648.13731582184,1758.94341688055
"MAP3K13",1573.47868427612,1780.8661928728,1380.3989744871
"MAP3K14",350.080185736074,238.284913130868,278.458084587851
"MAP3K14-AS1",106.341561796173,102.420708275549,111.977806257748
"MAP3K15",28.2322730432318,32.3983873116531,40.6291155448466
"MAP3K19",14.1161365216159,567.494332587988,50.5386559216384
"MAP3K2",3395.40137133267,1572.88944851735,3290.95835913257
"MAP3K2-DT",114.811243709142,161.991936558266,228.910382703892
"MAP3K20",652.165507298653,1011.66577153807,921.587255041641
"MAP3K21",322.78898846095,169.30770143509,72.3396447505805
"MAP3K3",747.214159877534,586.306299414109,938.433473682188
"MAP3K4",1321.27037842325,1005.39511592936,1486.43105651878
"MAP3K4-AS1",95.989728346988,152.585953145205,140.715473350444
"MAP3K6",500.65230863331,461.938296508086,610.427687210378
"MAP3K7",2967.21189684366,2176.96260548946,3884.5398277024
"MAP3K8",260.67798776584,276.953956051228,242.7837392314
"MAP3K9",2683.94809064323,1427.61926024897,1485.4401024811
"MAP3K9-DT",334.081897678242,299.946359949821,225.937520590854
"MAP4",10437.4713440828,12566.3938398489,10227.6366228869
"MAP4K1",63.0520764632176,72.1125395001311,23.7828969043004
"MAP4K2",1289.27380230758,724.260722805664,947.3520600213
"MAP4K3",1967.78943111325,1516.45354803899,2330.72389662144
"MAP4K3-DT",566.52761240085,644.832418428708,511.332283442459
"MAP4K4",21257.9605257854,9451.96822085776,18774.6151978698
"MAP4K5",3044.38010982849,1665.90417337984,3469.33008591482
"MAP6",7737.52496538172,6701.2406271716,5376.91660844725
"MAP7",405.60365605443,593.622064290934,179.362680819932
"MAP7D1",6535.77120950815,5749.14608391625,4979.5440393379
"MAP7D3",79.9914402891566,436.855674073258,200.172715611195
"MAP9",2926.74563881502,3810.46839155765,2639.90155637735
"MAPK1",6864.20665257775,6253.93386041717,5747.53341853927
"MAPK10",3540.32703962126,2923.1706229256,1840.20164797025
"MAPK11",2103.30434172077,1375.36379684308,1919.47797098458
"MAPK12",1597.00557847881,1422.39371390838,1088.06753337174
"MAPK13",1236.57355929355,395.051303348544,916.632484853246
"MAPK14",1563.12685082693,1663.8139548436,1424.00095214499
"MAPK15",439.482383706308,2981.6967419402,940.415381757546
"MAPK1IP1L",5043.2250412893,4617.29274654463,5588.9807725106
"MAPK3",2108.95079632941,2022.28643380802,2004.70001822499
"MAPK4",1242.2200139022,1379.54423391555,861.139058743211
